"Warren County and Bowling Green need to be a unified school district and not divide the community. Share resources, benefitting all kids",Education & Youth
Birth control should be an OTC drug- access to it in Kentucky and in Bowling Green is limited for many women.,Public Health & Safety
The Smokey Bones entrance off of  scottsville Road is extremely dangerous. Needs bet get lighting,Infrastructure & Transit
Planning and zoning laws should change to encourage small businesses and farms.  Farmers shouldn't need a permit to build a fence.,Urban Planning & Environment
Take better care of senior citizens. WRECC needs to reduce rates. Get rid of Spectrum- rates too high for seniors.,Social Equity
Urban sprawl in Bowling Green is a major problem that has made this city less walking/bike friendly.,Urban Planning & Environment
"All in all, Bowling Green is one of the best places to live in Kentucky.",
"Cable TV is pitiful - way too expensive and not including ""local"" channels.",Infrastructure & Transit
Low-income areas should get beautification money -- not the wealthy who can afford it themselves.,Social Equity
Institutionalize racism is alive and well here. I know because I have experienced it first hand. We need to have a plan.,Social Equity
Underground electrical wires in downtown area would be very attractive.,Infrastructure & Transit
Some medical benefits of medical marijuana have been undisputed.  Controlled legal availability of medical marijuana would be a good thing.,
Animated digital business signs are a road hazard. They distract drivers.,Infrastructure & Transit
County volunteer fire departments need to be upgraded to fit the current population of Warren County.,Public Health & Safety
BG needs to redevelop from WKU to the river and beyond. Model after Greenville SC,Urban Planning & Environment
Too much money is spent on making sure we cut our grass and don't park in the yard.,
The arts are an important component of K-12 education.,Education & Youth
BGMU should introduce residential internet service to compete with Spectrum.,Infrastructure & Transit
"BG has a bad problem with littering.  My husband and I fill up to 5 recycle bins every week between downtown and campus, cleaning it all up.",Urban Planning & Environment
Street lights should be required on residential streets in town. Too many dark corners.,Infrastructure & Transit
7% of Paker-Bennett &  3.7% of Bristow homeless. I will pay 6 cents per $100 income to end homelessness for school-age families via Apt. $,Social Equity
Police should not focus on Public Intoxication charges for people walking home. We should encourage people to walk -- not drive drunk.,Public Health & Safety
There should be more healthy food options near/on campus of WKU.,Public Health & Safety
Local schools should help make up the pension fund crisis by learning to live with budget cuts.,
"Traffic flow needs to be improved throughout Bowling Green, especially on Scottsville Road.",Infrastructure & Transit
There is not enough done for tourism in Warren Co. We offer much more than Corvettes and we should be promoting other activities.,Economic Development
morte comnpetitive internet rates,Infrastructure & Transit
"The very low number of immigrants coming to our county last year was a good thing. Saves costs: Schools, courts, social services.Our taxes!",
Merged city/county government should be considered.,Social Equity
We should have some riverwalk like Owensboro has. Would embrace Bowling Green's character and provide place for City activities.,Urban Planning & Environment
There need to be harsher punishments for WKU campus rapes/sexual assaults.,Public Health & Safety
City officials need to spread resources across city and not just focus on wealthy neighborhoods. Low-income areas of city are ignored.,Social Equity
"With jails crowded, it seems many are first time offenders of crimes that hurt no one, nor property. Seems rehab would be better.",Public Health & Safety
"Five lane Cemetery Road from Interchange to By Pass, except four lanes through the Cemetery with median prohibiting left turns.",Infrastructure & Transit
The face of drug dealers has changed. Today most opioid drug dealers are doctors or teenagers in the suburbs ordering from China.,Public Health & Safety
Bowling green needs to work in beautifying the city . More Boulvard like roads with planted flowers and reducing overhead utility clusters.,Urban Planning & Environment
Bowling Green needs a homeless shelter.,Social Equity
"SNAP grants for neighborhood improvements should be available in Warren County, not just in the city.",Social Equity
"A traffic light is needed on Cave Mill in front of Natcher School.  Operational on school days, 7:30 to 9 AM & 3 to 4:30 PM.",Infrastructure & Transit
City officials need to work with WKU admin. to address the noise & public nuisance problems with the frat houses and homeowners downtown.,Urban Planning & Environment
the Bark Park needs more trees and water access for the smaller dogs area,Urban Planning & Environment
A fresh food grocery store to be built in Delafield and Morgantown rd areas within walking distance of residents.,Economic Development
A Fairness Ordinance.,Social Equity
We need look for a Natcher connection on Three Springs or Elrod Rd,Infrastructure & Transit
I pay an exorbitant city wage tax and have NO say in the election of BG city officials or how my tax dollars are spent! NOT FAIR!!!,
"Why are there 2 separate school systems. Silly to have duplicate everything, all that money would benefit kids & save the teacher pensions.",Education & Youth
Enforce leash law in the city,Public Health & Safety
"Scottsville Rd should be 4+ lanes between I-65 & Lovers Lane, get rid of the service Rd.",Infrastructure & Transit
Cable TV providers should include all local channels.,Infrastructure & Transit
City/county officials should disclose to the public via Daily News all connections they have to a project or proposal well before the vote.,Social Equity
"Require 4 yr HS lifeskills class, how to: family finance, file tax, repair/maintain car, repair/maintain home, cook/sew, apply/interview job",Education & Youth
Fix the city streets,Infrastructure & Transit
Industrial hemp should be re-legalized to grow in Kentucky.,Economic Development
Too many apartments in Plano. Nice little country setting I bought my home in forever ruined!,Urban Planning & Environment
"Work,with State to complete a wide loop from Scottsville Road across N I65 to N Natcher Pk way.",Infrastructure & Transit
Residents using septic tanks should not be charged for waste water.,
Most drugs except meth should be free & government controlled. See Belgium.,
Bowling Green needs to attract business like Costco and Trader Joe's to keep residents from driving to Nashville on weekends,Economic Development
Refugees should be required to learn and speak english.,
The WKU Nursing Program should be expanded so we have more nurses,Public Health & Safety
The homeless population is getting out of hand. We need to find better methods for curtailing and rehabing and keeping them off the streets.,Social Equity
Invest in the youth.,Education & Youth
The city should actually time stoplights correctly during rush hour to prevent complete gridlock,Infrastructure & Transit
The Medical Center Health Sciences building which now houses the WKU Nursing program tripled the number of students on day 1.,Education & Youth
More bike trails and walking trails would be a great addition.,Urban Planning & Environment
Planning and zoning laws should change to encourage small businesses and farms.,Economic Development
Higher minimum wage,Social Equity
"A favorite place to visit (elsewhere) is a park filled with gently used toys (donated).  It inspires imagination, creativity and sharing.",Urban Planning & Environment
"Support non-public (or public charter) school choice options, and make choice viable for families of ALL income levels.",Education & Youth
It seems like every time I go to this site its the same statements starting over again.,
Apartments for 55 and older that are upscale and lovely.,Urban Planning & Environment
Lower taxes. Be less tyrannical. Fix Scottsville Road traffic. Attract Google Fiber or some equivalent.,Economic Development
Consider asking low-income or disabled residents what they really need.,Social Equity
Individual unhappiness combined with easy legal and illegal availability of drugs drives the opioid crisis.,Public Health & Safety
I would love to see a Texas Roadhouse in Bowling Green,Economic Development
